mpg,cylinders,displacement,horsepower,weight,acceleration,model year,origin
13.0,8,350.0,150,4699.0,14.5,74.0,1.0
14.0,8,318.0,150,4457.0,13.5,74.0,1.0
14.0,8,302.0,140,4638.0,16.0,74.0,1.0
14.0,8,304.0,150,4257.0,15.5,74.0,1.0
29.0,4,98.0,83,2219.0,16.5,74.0,2.0
26.0,4,79.0,67,1963.0,15.5,74.0,2.0
26.0,4,97.0,78,2300.0,14.5,74.0,2.0
31.0,4,76.0,52,1649.0,16.5,74.0,3.0
32.0,4,83.0,61,2003.0,19.0,74.0,3.0
28.0,4,90.0,75,2125.0,14.5,74.0,1.0
24.0,4,90.0,75,2108.0,15.5,74.0,2.0
26.0,4,116.0,75,2246.0,14.0,74.0,2.0
24.0,4,120.0,97,2489.0,15.0,74.0,3.0
26.0,4,108.0,93,2391.0,15.5,74.0,3.0
31.0,4,79.0,67,2000.0,16.0,74.0,2.0
19.0,6,225.0,95,3264.0,16.0,75.0,1.0
18.0,6,250.0,105,3459.0,16.0,75.0,1.0
15.0,6,250.0,72,3432.0,21.0,75.0,1.0
15.0,6,250.0,72,3158.0,19.5,75.0,1.0
16.0,8,400.0,170,4668.0,11.5,75.0,1.0
15.0,8,350.0,145,4440.0,14.0,75.0,1.0
16.0,8,318.0,150,4498.0,14.5,75.0,1.0
14.0,8,351.0,148,4657.0,13.5,75.0,1.0
17.0,6,231.0,110,3907.0,21.0,75.0,1.0
16.0,6,250.0,105,3897.0,18.5,75.0,1.0
15.0,6,258.0,110,3730.0,19.0,75.0,1.0
18.0,6,225.0,95,3785.0,19.0,75.0,1.0
21.0,6,231.0,110,3039.0,15.0,75.0,1.0
20.0,8,262.0,110,3221.0,13.5,75.0,1.0
13.0,8,302.0,129,3169.0,12.0,75.0,1.0
29.0,4,97.0,75,2171.0,16.0,75.0,3.0
23.0,4,140.0,83,2639.0,17.0,75.0,1.0
20.0,6,232.0,100,2914.0,16.0,75.0,1.0
23.0,4,140.0,78,2592.0,18.5,75.0,1.0
24.0,4,134.0,96,2702.0,13.5,75.0,3.0
25.0,4,90.0,71,2223.0,16.5,75.0,2.0
24.0,4,119.0,97,2545.0,17.0,75.0,3.0
18.0,6,171.0,97,2984.0,14.5,75.0,1.0
29.0,4,90.0,70,1937.0,14.0,75.0,2.0
19.0,6,232.0,90,3211.0,17.0,75.0,1.0
23.0,4,115.0,95,2694.0,15.0,75.0,2.0
23.0,4,120.0,88,2957.0,17.0,75.0,2.0
22.0,4,121.0,98,2945.0,14.5,75.0,2.0
25.0,4,121.0,115,2671.0,13.5,75.0,2.0
33.0,4,91.0,53,1795.0,17.5,75.0,3.0
28.0,4,107.0,86,2464.0,15.5,76.0,2.0
25.0,4,116.0,81,2220.0,16.9,76.0,2.0
25.0,4,140.0,92,2572.0,14.9,76.0,1.0
26.0,4,98.0,79,2255.0,17.7,76.0,1.0
27.0,4,101.0,83,2202.0,15.3,76.0,2.0
17.5,8,305.0,140,4215.0,13.0,76.0,1.0
16.0,8,318.0,150,4190.0,13.0,76.0,1.0
15.5,8,304.0,120,3962.0,13.9,76.0,1.0
14.5,8,351.0,152,4215.0,12.8,76.0,1.0
22.0,6,225.0,100,3233.0,15.4,76.0,1.0
22.0,6,250.0,105,3353.0,14.5,76.0,1.0
24.0,6,200.0,81,3012.0,17.6,76.0,1.0
22.5,6,232.0,90,3085.0,17.6,76.0,1.0
29.0,4,90.0,70,1937.0,14.2,76.0,2.0
33.0,4,91.0,53,1795.0,17.4,76.0,3.0
20.0,6,225.0,100,3651.0,17.7,76.0,1.0
18.0,6,250.0,78,3574.0,21.0,76.0,1.0
18.5,6,250.0,110,3645.0,16.2,76.0,1.0
17.5,6,258.0,95,3193.0,17.8,76.0,1.0
29.5,4,97.0,71,1825.0,12.2,76.0,2.0
32.0,4,85.0,70,1990.0,17.0,76.0,3.0
28.0,4,97.0,75,2155.0,16.4,76.0,3.0
26.5,4,140.0,72,2565.0,13.6,76.0,1.0
20.0,4,130.0,102,3150.0,15.7,76.0,2.0
13.0,8,318.0,150,3940.0,13.2,76.0,1.0
19.0,6,156.0,108,2930.0,15.5,76.0,3.0
16.5,6,168.0,120,3820.0,16.7,76.0,2.0
16.5,8,350.0,180,4380.0,12.1,76.0,1.0
13.0,8,350.0,145,4055.0,12.0,76.0,1.0
13.0,8,302.0,130,3870.0,15.0,76.0,1.0
13.0,8,318.0,150,3755.0,14.0,76.0,1.0
31.5,4,98.0,68,2045.0,18.5,77.0,3.0
30.0,4,111.0,80,2155.0,14.8,77.0,1.0
36.0,4,79.0,58,1825.0,18.6,77.0,2.0
25.5,4,122.0,96,2300.0,15.5,77.0,1.0
33.5,4,85.0,70,1945.0,16.8,77.0,3.0
17.5,8,305.0,145,3880.0,12.5,77.0,1.0
17.0,8,260.0,110,4060.0,19.0,77.0,1.0
15.5,8,318.0,145,4140.0,13.7,77.0,1.0
15.0,8,302.0,130,4295.0,14.9,77.0,1.0
17.5,6,250.0,110,3520.0,16.4,77.0,1.0
20.5,6,231.0,105,3425.0,16.9,77.0,1.0
19.0,6,225.0,100,3630.0,17.7,77.0,1.0
18.5,6,250.0,98,3525.0,19.0,77.0,1.0
16.0,8,400.0,180,4220.0,11.1,77.0,1.0
15.5,8,350.0,170,4165.0,11.4,77.0,1.0
15.5,8,400.0,190,4325.0,12.2,77.0,1.0
16.0,8,351.0,149,4335.0,14.5,77.0,1.0
29.0,4,97.0,78,1940.0,14.5,77.0,2.0
24.5,4,151.0,88,2740.0,16.0,77.0,1.0
26.0,4,97.0,75,2265.0,18.2,77.0,3.0
25.5,4,140.0,89,2755.0,15.8,77.0,1.0
30.5,4,98.0,63,2051.0,17.0,77.0,1.0
33.5,4,98.0,83,2075.0,15.9,77.0,1.0
30.0,4,97.0,67,1985.0,16.4,77.0,3.0
30.5,4,97.0,78,2190.0,14.1,77.0,2.0
22.0,6,146.0,97,2815.0,14.5,77.0,3.0
21.5,4,121.0,110,2600.0,12.8,77.0,2.0
21.5,3,80.0,110,2720.0,13.5,77.0,3.0
43.1,4,90.0,48,1985.0,21.5,78.0,2.0
36.1,4,98.0,66,1800.0,14.4,78.0,1.0
32.8,4,78.0,52,1985.0,19.4,78.0,3.0
39.4,4,85.0,70,2070.0,18.6,78.0,3.0
36.1,4,91.0,60,1800.0,16.4,78.0,3.0
19.9,8,260.0,110,3365.0,15.5,78.0,1.0
19.4,8,318.0,140,3735.0,13.2,78.0,1.0
20.2,8,302.0,139,3570.0,12.8,78.0,1.0
19.2,6,231.0,105,3535.0,19.2,78.0,1.0
20.5,6,200.0,95,3155.0,18.2,78.0,1.0
20.2,6,200.0,85,2965.0,15.8,78.0,1.0
25.1,4,140.0,88,2720.0,15.4,78.0,1.0
20.5,6,225.0,100,3430.0,17.2,78.0,1.0
19.4,6,232.0,90,3210.0,17.2,78.0,1.0
20.6,6,231.0,105,3380.0,15.8,78.0,1.0
20.8,6,200.0,85,3070.0,16.7,78.0,1.0
18.6,6,225.0,110,3620.0,18.7,78.0,1.0
18.1,6,258.0,120,3410.0,15.1,78.0,1.0
19.2,8,305.0,145,3425.0,13.2,78.0,1.0
17.7,6,231.0,165,3445.0,13.4,78.0,1.0
18.1,8,302.0,139,3205.0,11.2,78.0,1.0
17.5,8,318.0,140,4080.0,13.7,78.0,1.0
30.0,4,98.0,68,2155.0,16.5,78.0,1.0
27.5,4,134.0,95,2560.0,14.2,78.0,3.0
27.2,4,119.0,97,2300.0,14.7,78.0,3.0
30.9,4,105.0,75,2230.0,14.5,78.0,1.0
21.1,4,134.0,95,2515.0,14.8,78.0,3.0
23.2,4,156.0,105,2745.0,16.7,78.0,1.0
23.8,4,151.0,85,2855.0,17.6,78.0,1.0
23.9,4,119.0,97,2405.0,14.9,78.0,3.0
20.3,5,131.0,103,2830.0,15.9,78.0,2.0
17.0,6,163.0,125,3140.0,13.6,78.0,2.0
21.6,4,121.0,115,2795.0,15.7,78.0,2.0
16.2,6,163.0,133,3410.0,15.8,78.0,2.0
31.5,4,89.0,71,1990.0,14.9,78.0,2.0
29.5,4,98.0,68,2135.0,16.6,78.0,3.0
21.5,6,231.0,115,3245.0,15.4,79.0,1.0
19.8,6,200.0,85,2990.0,18.2,79.0,1.0
22.3,4,140.0,88,2890.0,17.3,79.0,1.0
20.2,6,232.0,90,3265.0,18.2,79.0,1.0
20.6,6,225.0,110,3360.0,16.6,79.0,1.0
17.0,8,305.0,130,3840.0,15.4,79.0,1.0
17.6,8,302.0,129,3725.0,13.4,79.0,1.0
16.5,8,351.0,138,3955.0,13.2,79.0,1.0
18.2,8,318.0,135,3830.0,15.2,79.0,1.0
16.9,8,350.0,155,4360.0,14.9,79.0,1.0
15.5,8,351.0,142,4054.0,14.3,79.0,1.0
19.2,8,267.0,125,3605.0,15.0,79.0,1.0
18.5,8,360.0,150,3940.0,13.0,79.0,1.0
31.9,4,89.0,71,1925.0,14.0,79.0,2.0
34.1,4,86.0,65,1975.0,15.2,79.0,3.0
35.7,4,98.0,80,1915.0,14.4,79.0,1.0
27.4,4,121.0,80,2670.0,15.0,79.0,1.0
25.4,5,183.0,77,3530.0,20.1,79.0,2.0
23.0,8,350.0,125,3900.0,17.4,79.0,1.0
34.2,4,105.0,70,2200.0,13.2,79.0,1.0
34.5,4,105.0,70,2150.0,14.9,79.0,1.0
31.8,4,85.0,65,2020.0,19.2,79.0,3.0
37.3,4,91.0,69,2130.0,14.7,79.0,2.0
28.4,4,151.0,90,2670.0,16.0,79.0,1.0
28.8,6,173.0,115,2595.0,11.3,79.0,1.0
26.8,6,173.0,115,2700.0,12.9,79.0,1.0
33.5,4,151.0,90,2556.0,13.2,79.0,1.0
41.5,4,98.0,76,2144.0,14.7,80.0,2.0
38.1,4,89.0,60,1968.0,18.8,80.0,3.0
37.2,4,86.0,65,2019.0,16.4,80.0,3.0
28.0,4,151.0,90,2678.0,16.5,80.0,1.0
26.4,4,140.0,88,2870.0,18.1,80.0,1.0
24.3,4,151.0,90,3003.0,20.1,80.0,1.0
19.1,6,225.0,90,3381.0,18.7,80.0,1.0
34.3,4,97.0,78,2188.0,15.8,80.0,2.0
29.8,4,134.0,90,2711.0,15.5,80.0,3.0
31.3,4,120.0,75,2542.0,17.5,80.0,3.0
37.0,4,119.0,92,2434.0,15.0,80.0,3.0
32.2,4,108.0,75,2265.0,15.2,80.0,3.0
46.6,4,86.0,65,2110.0,17.9,80.0,3.0
27.9,4,156.0,105,2800.0,14.4,80.0,1.0
40.8,4,85.0,65,2110.0,19.2,80.0,3.0
44.3,4,90.0,48,2085.0,21.7,80.0,2.0
36.4,5,121.0,67,2950.0,19.9,80.0,2.0
30.0,4,146.0,67,3250.0,21.8,80.0,2.0
44.6,4,91.0,67,1850.0,13.8,80.0,3.0
33.8,4,97.0,67,2145.0,18.0,80.0,3.0
29.8,4,89.0,62,1845.0,15.3,80.0,2.0
32.7,6,168.0,132,2910.0,11.4,80.0,3.0
23.7,3,70.0,100,2420.0,12.5,80.0,3.0
35.0,4,122.0,88,2500.0,15.1,80.0,2.0
32.4,4,107.0,72,2290.0,17.0,80.0,3.0
27.2,4,135.0,84,2490.0,15.7,81.0,1.0
26.6,4,151.0,84,2635.0,16.4,81.0,1.0
25.8,4,156.0,92,2620.0,14.4,81.0,1.0
23.5,6,173.0,110,2725.0,12.6,81.0,1.0
30.0,4,135.0,84,2385.0,12.9,81.0,1.0
39.1,4,79.0,58,1755.0,16.9,81.0,3.0
39.0,4,86.0,64,1875.0,16.4,81.0,1.0
35.1,4,81.0,60,1760.0,16.1,81.0,3.0
32.3,4,97.0,67,2065.0,17.8,81.0,3.0
37.0,4,85.0,65,1975.0,19.4,81.0,3.0
37.7,4,89.0,62,2050.0,17.3,81.0,3.0
34.1,4,91.0,68,1985.0,16.0,81.0,3.0
34.7,4,105.0,63,2215.0,14.9,81.0,1.0
34.4,4,98.0,65,2045.0,16.2,81.0,1.0
29.9,4,98.0,65,2380.0,20.7,81.0,1.0
33.0,4,105.0,74,2190.0,14.2,81.0,2.0
33.7,4,107.0,75,2210.0,14.4,81.0,3.0
32.4,4,108.0,75,2350.0,16.8,81.0,3.0
32.9,4,119.0,100,2615.0,14.8,81.0,3.0
31.6,4,120.0,74,2635.0,18.3,81.0,3.0
28.1,4,141.0,80,3230.0,20.4,81.0,2.0
30.7,6,145.0,76,3160.0,19.6,81.0,2.0
25.4,6,168.0,116,2900.0,12.6,81.0,3.0
24.2,6,146.0,120,2930.0,13.8,81.0,3.0
22.4,6,231.0,110,3415.0,15.8,81.0,1.0
26.6,8,350.0,105,3725.0,19.0,81.0,1.0
20.2,6,200.0,88,3060.0,17.1,81.0,1.0
17.6,6,225.0,85,3465.0,16.6,81.0,1.0
28.0,4,112.0,88,2605.0,19.6,82.0,1.0
27.0,4,112.0,88,2640.0,18.6,82.0,1.0
34.0,4,112.0,88,2395.0,18.0,82.0,1.0
31.0,4,112.0,85,2575.0,16.2,82.0,1.0
29.0,4,135.0,84,2525.0,16.0,82.0,1.0
27.0,4,151.0,90,2735.0,18.0,82.0,1.0
24.0,4,140.0,92,2865.0,16.4,82.0,1.0
36.0,4,105.0,74,1980.0,15.3,82.0,2.0
37.0,4,91.0,68,2025.0,18.2,82.0,3.0
31.0,4,91.0,68,1970.0,17.6,82.0,3.0
38.0,4,105.0,63,2125.0,14.7,82.0,1.0
36.0,4,98.0,70,2125.0,17.3,82.0,1.0
36.0,4,120.0,88,2160.0,14.5,82.0,3.0
36.0,4,107.0,75,2205.0,14.5,82.0,3.0
34.0,4,108.0,70,2245.0,16.9,82.0,3.0
38.0,4,91.0,67,1965.0,15.0,82.0,3.0
32.0,4,91.0,67,1965.0,15.7,82.0,3.0
38.0,4,91.0,67,1995.0,16.2,82.0,3.0
25.0,6,181.0,110,2945.0,16.4,82.0,1.0
38.0,6,262.0,85,3015.0,17.0,82.0,1.0
26.0,4,156.0,92,2585.0,14.5,82.0,1.0
22.0,6,232.0,112,2835.0,14.7,82.0,1.0
32.0,4,144.0,96,2665.0,13.9,82.0,3.0
36.0,4,135.0,84,2370.0,13.0,82.0,1.0
27.0,4,151.0,90,2950.0,17.3,82.0,1.0
27.0,4,140.0,86,2790.0,15.6,82.0,1.0
32.0,4,135.0,84,2295.0,11.6,82.0,1.0
28.0,4,120.0,79,2625.0,18.6,82.0,1.0
31.0,4,119.0,82,2720.0,19.4,82.0,1.0
